city,country,country_clean,continent_name,median_salary,average_salary,rent_usd_proxy,utilities_usd_proxy,grocery_item_price_median,salary_pr,rent_pr,grocery_pr,utilities_pr,affordability_score,cluster_label
Kingsport,United States,United States,Northern America,6966,7925,1162.5,211.7,3.005,0.880446005,0.745014245,0.766011868,0.987272727,55.1403431,High Salary–High Cost
Besancon,France,France,Europe,3769.56,4377.38,790.31,115.91,3.16,0.630807351,0.591297591,0.797421731,0.824812834,46.68542896,Low Salary–Low Cost
Lomas de Zamora,Argentina,Argentina,South America,110.28,129.42,279.385,87.72,1.21,0.009911212,0.234136234,0.199508901,0.540106952,37.95144197,High Cost–Low Salary
Toledo,Brazil,Brazil,South America,1490.04,1711.16,210.75,34.49,1.12,0.310241586,0.17029267,0.146101903,0.05368984,58.06427527,High Cost–Low Salary
Metz,France,France,Europe,3769.56,4377.38,627.855,121.18,1.815,0.630807351,0.503237503,0.453550235,0.855828877,55.60928087,Low Salary–Low Cost
Elblag,Poland,Poland,Europe,1496.57,1736.84,349.33,50.71,1.105,0.333987198,0.303936804,0.139553919,0.140855615,55.60558336,High Cost–Low Salary
Paulo Afonso,Brazil,Brazil,South America,1490.04,1711.16,143.695,28.74,1.15,0.310241586,0.094794095,0.165336607,0.030481283,59.68308836,High Cost–Low Salary
Huaraz,Peru,Peru,South America,1825.86,1997.36,199.06,50.52,1.31,0.392525294,0.156695157,0.249232658,0.140106952,60.02369787,High Cost–Low Salary
Rock Hill,United States,United States,Northern America,6966,7925,1500,70,3.825,0.880446005,0.838124838,0.898096992,0.316898396,53.52274746,High Salary–High Cost
Cheltenham,United Kingdom,United Kingdom,Europe,6300,7235.37,1108.025,80.72,2.355,0.728370845,0.724164724,0.604358502,0.448449198,53.98500809,High Salary–High Cost
Gilroy,United States,United States,Northern America,6966,7925,1850,150,5.895,0.880446005,0.903263403,0.98956415,0.949625668,46.90130381,High Salary–Moderate Cost
Gabes,Tunisia,Tunisia,Africa,1088.33,1239.75,105.84,33.15,0.725,0.237559364,0.045843046,0.026805811,0.045775401,59.96689882,High Cost–Low Salary
Bruges,Belgium,Belgium,Europe,5729.39,6522.2,736.395,110.64,1.985,0.707619244,0.56047656,0.492224268,0.785775401,57.59568583,Low Salary–Low Cost
Lahti,Finland,Finland,Europe,4238.9,4978.86,728.84,118.17,2.56,0.657030766,0.559052059,0.655719255,0.834224599,51.58972873,Low Salary–Low Cost
Butwal,Nepal,Nepal,Asia,551.13,608.2,72.56,25.63,1.145,0.122651249,0.015799016,0.16226724,0.020534759,52.38956848,High Cost–Low Salary
Linkoping,Sweden,Sweden,Europe,3568.16,4144.56,823.15,116.19,2.67,0.557402437,0.607873608,0.688049928,0.827379679,44.77538467,Low Salary–Low Cost
